# Columns: lon, lat, SWA_source_to_station_geometric_mean, num_nodes
-16.9748, 64.9271, 1.54, 769
-16.9768, 64.9540, 1.55, 7
-16.9788, 64.9809, 1.97, 2
-16.9808, 65.0078, 1.36, 10661
-16.9828, 65.0347, 2.16, 544
-16.9848, 65.0616, 1.74, 144
-16.9868, 65.0885, 1.76, 157
-16.9888, 65.1154, 2.48, 292
-16.9908, 65.1423, 2.99, 253
-16.9928, 65.1692, 2.18, 223
-16.9948, 65.1961, 1.25, 88
-16.9114, 64.9279, 1.52, 1587
-16.9133, 64.9549, 1.56, 3776
-16.9152, 64.9818, 2.32, 2526
-16.9172, 65.0087, 1.38, 28713
-16.9191, 65.0356, 1.68, 4825
-16.9210, 65.0625, 2.95, 3467
-16.9230, 65.0894, 2.22, 4345
-16.9249, 65.1163, 2.20, 1828
-16.9269, 65.1432, 2.28, 3680
-16.9288, 65.1701, 1.51, 656
-16.9308, 65.1970, 1.26, 63
-16.8480, 64.9287, 1.43, 1764
-16.8498, 64.9557, 1.32, 11750
-16.8517, 64.9826, 2.04, 24917
-16.8536, 65.0095, 1.52, 30340
-16.8554, 65.0364, 3.24, 6571
-16.8573, 65.0633, 2.41, 10257
-16.8592, 65.0902, 2.02, 10343
-16.8611, 65.1171, 2.22, 11943
-16.8629, 65.1440, 1.73, 1698
-16.8648, 65.1709, 2.09, 458
-16.8667, 65.1978, 1.21, 24
-16.7846, 64.9295, 2.23, 41717
-16.7864, 64.9564, 1.75, 14062
-16.7882, 64.9833, 1.61, 18446
-16.7900, 65.0102, 1.15, 83023
-16.7918, 65.0371, 3.79, 7878
-16.7936, 65.0640, 3.00, 16172
-16.7954, 65.0910, 3.18, 19300
-16.7972, 65.1179, 1.92, 20687
-16.7990, 65.1448, 2.05, 13288
-16.8008, 65.1717, 2.53, 774
-16.7211, 64.9303, 3.02, 4334
-16.7229, 64.9572, 2.27, 38562
-16.7246, 64.9841, 2.10, 47129
-16.7263, 65.0110, 1.34, 107318
-16.7281, 65.0379, 3.41, 29085
-16.7298, 65.0648, 1.79, 37184
-16.7316, 65.0917, 1.67, 22839
-16.7333, 65.1186, 1.61, 12528
-16.7351, 65.1455, 1.72, 5883
-16.7368, 65.1724, 1.75, 343
-16.6577, 64.9310, 3.25, 15674
-16.6594, 64.9579, 3.25, 36828
-16.6611, 64.9848, 3.44, 56943
-16.6627, 65.0117, 2.69, 167455
-16.6644, 65.0386, 3.14, 156055
-16.6661, 65.0655, 2.00, 64779
-16.6678, 65.0924, 2.19, 24769
-16.6695, 65.1193, 2.35, 20973
-16.6711, 65.1462, 2.49, 20406
-16.6728, 65.1731, 1.94, 628
-16.6745, 65.2001, 2.39, 6
-16.5943, 64.9317, 3.68, 7
-16.5959, 64.9586, 2.90, 1959
-16.5975, 64.9855, 2.53, 10125
-16.5991, 65.0124, 3.51, 66525
-16.6007, 65.0393, 3.17, 125693
-16.6023, 65.0662, 2.28, 107815
-16.6040, 65.0931, 2.37, 109140
-16.6056, 65.1200, 2.49, 57493
-16.6072, 65.1469, 1.58, 3995
-16.6088, 65.1738, 1.18, 1723
-16.6105, 65.2008, 1.23, 10
-16.5324, 64.9593, 2.16, 350
-16.5339, 64.9862, 3.63, 14924
-16.5355, 65.0131, 3.22, 24386
-16.5370, 65.0400, 3.08, 96088
-16.5386, 65.0669, 2.61, 77639
-16.5401, 65.0938, 2.32, 53194
-16.5417, 65.1207, 2.41, 47233
-16.5433, 65.1476, 1.61, 38519
-16.5448, 65.1745, 1.56, 10832
-16.5464, 65.2014, 3.60, 3
-16.4704, 64.9868, 3.41, 35
-16.4719, 65.0137, 2.31, 1236
-16.4733, 65.0406, 2.57, 5544
-16.4748, 65.0675, 2.96, 10877
-16.4763, 65.0944, 2.74, 13576
-16.4778, 65.1213, 1.79, 12042
-16.4793, 65.1483, 1.50, 21162
-16.4808, 65.1752, 1.52, 40616
-16.4823, 65.2021, 4.28, 5
