,1event,stat,slat,slon,5cuspid,year,doy_det,evla,evlo,10dist(ev-stat),depthkm,mag,baz,spol,wbeg,wend,20SNR,tlag,Dtlag,fast,Dfast,25anginc,anginc_corr,type_ini,timestamp,comment,30nyquist,gradeABCNR,filt_lo,filt_HI,spol-fast,35bandang,pickgrade,lambdamax,ndf,lambda2_min,40ttime,maxfreq,Elev,anginc_epi,takeoff_ang_epi,path_length_source_to_station_km,traveltime_source_to_station_s,v_avg_source_to_station_kms,SWA_source_to_station,max_ray_depth_km
32876,20121023012717340.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2012-10-23 01:27:17.340,2012,297.06,65.0946,-16.7512,12.0369,4.7,-12345,-12345,108.387,13.9,15.304509,3.73242,0.06,0.00375,41.0,8.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,67.387,0.0588052,1,7.95616817,32,356.1829,-1350955985.0,7.73438,0.883,34.2147309663802,86.68065842990751,13.526991214927028,4.414157086059588,3.0644562373293893,1.3592001302356491,4.733210560862913
32877,20141221050623780.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2014-12-21 05:06:23.780,2014,355.213,65.0775,-16.817,8.40675,2.1,-12345,-12345,22.128,13.9,15.281578,3.79263,0.02625,0.00375,54.0,8.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,31.872,0.0588052,1,3.70490813,43,22845.04,-1419137985.0,8.60253,0.883,43.675476626946434,73.51064523307653,9.175999539208696,3.515168603940355,2.610400971641243,0.7467532003772703,2.498292901566928
32878,20140903020925580.EFJA.2-6.fb1,EFJA,65.0336,-16.9621,2014-09-03 02:09:25.580,2014,246.09,65.0203,-16.6659,14.0382,0.9,-12345,-12345,179.962,13.9,15.704481,3.21387,0.2625,0.034688,22.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,22.038,0.0588052,1,3.53374147,24,1078374.0,-1409709985.0,4.21698,0.883,36.651227427590456,40.1320405488679,16.03318544290167,5.609414518402836,2.858263619189046,4.6770735936448204,3.596676127284079
32879,20140924085601840.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2014-09-24 08:56:01.840,2014,267.372,65.099,-16.864,8.63006,1.7,-12345,-12345,50.195,14.099999,15.349368,3.60494,0.09375,0.004687,-3.0,9.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,53.195,0.0588052,1,2.72740173,33,52174.55,-1411548985.0,7.53706,0.883,44.44976589959906,59.48251598160565,9.426311385698472,3.653847900095677,2.579831356814727,2.5653661045055287,2.36402718966529
32880,20141208090717320.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2014-12-08 09:07:17.320,2014,342.38,65.0409,-16.5046,21.568,2.1,-12345,-12345,171.042,14.099999,15.323295,3.21884,0.09,0.00375,15.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,23.958,0.0588052,1,5.2731719,26,72502.5,-1418029985.0,6.62365,0.883,33.69418635961323,50.38028950970129,23.71035044749256,7.4003283205177,3.203959259720232,1.2161172921565822,5.002865765303043
32881,20121027155027620.EFJA.1-8.fb1,EFJA,65.0336,-16.9621,2012-10-27 15:50:27.620,2012,301.66,65.0463,-16.5428,19.8016,0.8,-12345,-12345,173.427,14.3,16.07991,3.10347,0.09,0.01,20.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,26.573,0.0588052,1,3.29826903,32,794618.3,-1351352985.0,2.43056,0.883,34.67366089266614,37.48855364410677,22.26410031353741,7.321030831343364,3.0411154967711127,1.229288634135628,4.50348513620627
32882,20140820013542180.EFJA.2-6.fb1,EFJA,65.0336,-16.9621,2014-08-20 01:35:42.180,2014,232.066,65.0203,-16.6659,14.0382,1.5,-12345,-12345,175.844,14.099999,15.617844,3.65009,0.28125,0.006563,16.0,4.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,20.156,0.0588052,1,7.29434967,35,3282939.0,-1408498985.0,3.86719,0.883,36.57838733211065,42.54199492191941,15.77343304556934,5.406999656176349,2.917224717695616,5.198077186091865,3.63283902090914
32883,20120929002010240.EFJA.3-8.fb1,EFJA,65.0336,-16.9621,2012-09-29 00:20:10.240,2012,273.014,65.0695,-16.8148,8.00642,2.6,-12345,-12345,86.372,13.9,15.610545,7.14062,0.0525,0.004687,50.0,9.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,36.372,0.0588052,1,4.80428171,25,26558.71,-1348877985.0,5.03178,0.883,42.78715040590727,82.72331981555456,8.80041277339197,3.344920972078469,2.6309777859784726,1.569447156897752,2.6991264130040884
32884,20121104212820520.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2012-11-04 21:28:20.520,2012,309.894,65.0721,-16.8106,8.33031,2.2,-12345,-12345,41.385,14.5,15.269347,10.4429,0.0225,0.0,19.0,0.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,22.385,0.0588052,1,815.461853,28,144.1519,-1352064985.0,6.98242,0.883,43.61393326235719,75.49076536685679,9.088712626535695,3.478500544569458,2.6128248393477334,0.646823663601026,2.51153528238286
32885,20140727211222260.EFJA.2-6.fb1,EFJA,65.0336,-16.9621,2014-07-27 21:12:22.260,2014,208.883,65.0381,-16.7615,9.4658,1.2,-12345,-12345,60.25,14.7,15.669258,3.10285,0.31125,0.00375,15.0,6.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,45.25,0.0588052,1,4.04895592,27,3980.785,-1406494985.0,3.95275,0.883,44.29634364446477,50.67501974543841,10.424592213301109,4.069989803327838,2.561331285099882,7.636290690861003,2.390223730823092
32886,20141109222306420.EFJA.2-6.fb1,EFJA,65.0336,-16.9621,2014-11-09 22:23:06.420,2014,313.933,65.0229,-16.6702,13.8094,2.0,-12345,-12345,139.403,14.7,15.477646,3.93307,0.09,0.004687,-8.0,8.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,2.0,6,32.597,0.0588052,1,15.8099136,21,22033250.0,-1415571985.0,3.86719,0.883,36.52587947628591,54.83796912696704,15.362503676877324,5.206368415219235,2.950713904911092,1.7285230373857985,3.658928749676853
32887,20121024221508760.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2012-10-24 22:15:08.760,2012,298.927,65.0158,-16.6617,14.2995,2.2,-12345,-12345,56.304,14.5,15.463038,5.11273,0.18,0.021562,-2.0,10.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,58.304,0.0588052,1,2.71080875,31,2916.782,-1351116985.0,5.99798,0.883,36.38767302745744,56.36700049577759,15.809258310608154,5.3099884210163575,2.9772679443210888,3.388864643691392,3.7276844048954834
32888,20120806112011000.EFJA.1-8.fb1,EFJA,65.0336,-16.9621,2012-08-06 11:20:11.000,2012,219.472,65.0212,-16.6702,13.8286,2.0,-12345,-12345,97.107,14.7,15.506578,4.54442,0.2175,0.005625,-15.0,7.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,1.0,8,67.893,0.0588052,1,5.11857986,34,11280.12,-1344251985.0,4.09226,0.883,36.52295024550789,54.83235510069021,15.381015384340127,5.211719786317793,2.951236063135925,4.171471031612128,3.660384726860221
32889,20141110193608580.EFJA.1-8.fb1,EFJA,65.0336,-16.9621,2014-11-10 19:36:08.580,2014,314.817,65.0955,-16.8001,10.2835,2.3,-12345,-12345,48.402,13.9,15.571791,4.77282,0.06,0.000937,11.0,4.5,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,1.0,8,37.402,0.0588052,1,8.11165047,55,1028728.0,-1415647985.0,5.46875,0.883,36.82939715429051,58.23900036620805,11.727147978998644,4.105132566044505,2.856703843378759,1.4615069070515574,3.5083644914688863
32890,20120712022525660.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2012-07-12 02:25:25.660,2012,194.101,65.0041,-16.7507,10.4973,3.2,-12345,-12345,73.678,14.099999,15.477127,3.8832,0.09,0.001875,-41.0,5.75,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,65.322,0.0588052,1,6.30992556,40,429.6802,-1342059985.0,6.8662,0.883,36.67871152959569,69.8774348515531,11.731753760615025,4.02730522796936,2.913053045778302,2.2344660019513185,3.583039987156428
32891,20150120060954080.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2015-01-20 06:09:54.080,2015,20.2568,65.1233,-16.7812,13.1349,3.2,-12345,-12345,167.942,13.9,15.345735,4.69795,0.09,0.000937,44.0,4.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,56.058,0.0588052,1,7.16418362,45,6167.531,-1421733985.0,7.61719,0.883,36.25062583772984,68.35910245435294,14.4193146981435,4.806479222955977,2.99997441563383,1.872308364683306,3.795984140721229
32892,20140828102021960.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2014-08-28 10:20:21.960,2014,240.431,65.1394,-16.7941,14.2037,1.1,-12345,-12345,10.764,13.9,15.267247,3.78,0.09,0.001875,39.0,5.0,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,28.236,0.0588052,1,6.73477745,38,2185284.0,-1409220985.0,9.07258,0.883,36.60547165982385,40.93138944263305,16.118269830695134,5.590449981958753,2.8831793295193204,1.6097840000398378,3.619388486025605
32893,20140902235815780.EFJA.3-8.fb1,EFJA,65.0336,-16.9621,2014-09-02 23:58:15.780,2014,245.999,65.0409,-16.5025,21.6679,2.3,-12345,-12345,100.201,14.7,15.708036,3.97789,0.34875,0.006563,-31.0,9.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,3.0,8,48.799,0.0588052,1,5.64554119,14,14300.34,-1409701985.0,4.14244,0.883,33.681139602490376,51.87032493770505,23.741816622681224,7.382982166789857,3.2157488784784967,4.721068862730959,5.013140161419641
32894,20121112010226500.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2012-11-12 01:02:26.500,2012,317.043,65.0883,-16.7937,10.0043,3.7,-12345,-12345,124.191,13.9,15.515688,3.87311,0.15,0.020625,-2.0,10.0,0.0,anginc_corr,ass_5_16,Apr,comment,50,ACl,4.0,10,53.809,0.0588052,1,2.97939181,34,3941.017,-1352681985.0,6.49909,0.883,36.31570282985591,85.60869012029885,11.241501485543798,3.8537580566178473,2.9170231551613326,3.890831447175458,3.763536971514641
32895,20150201021602160.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2015-02-01 02:16:02.160,2015,32.0943,65.0704,-16.8127,8.14292,2.3,-12345,-12345,48.31,13.9,15.531954,5.88153,0.15375,0.019687,24.0,6.25,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,24.31,0.0588052,1,3.88543272,30,191002.0,-1422756985.0,6.02948,0.883,43.5262355226432,77.64714748854044,8.902824702835943,3.4082425113984374,2.6121453133283703,4.508829925940461,2.531071690729669
32896,20140708234321500.EFJA.4-10.fb1,EFJA,65.0336,-16.9621,2014-07-08 23:43:21.500,2014,189.988,64.9987,-16.7528,10.6099,3.2,-12345,-12345,7.464,14.7,15.460844,3.61336,0.02625,0.001875,-62.0,3.5,0.0,anginc_corr,ass_5_15,Apr,comment,50,ACl,4.0,10,69.464,0.0588052,1,13.4626799,27,1435.767,-1404862985.0,7.61719,0.883,36.66563007122554,69.8295487224971,11.845991058854874,4.060816731512463,2.917144959270989,0.6464149337432445,3.5895296992521084
