# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9748	64.9271	65.81	0.58	0.000	769
-16.9768	64.9540	51.26	0.99	-0.000	7
-16.9788	64.9809	344.00	1.00	0.083	2
-16.9808	65.0078	283.21	0.65	0.000	10661
-16.9828	65.0347	69.74	0.53	0.000	544
-16.9848	65.0616	290.09	0.48	0.007	144
-16.9868	65.0885	288.07	0.40	0.105	157
-16.9888	65.1154	296.09	0.19	0.522	292
-16.9908	65.1423	303.08	0.32	0.181	253
-16.9928	65.1692	282.30	0.52	0.025	223
-16.9948	65.1961	293.56	0.36	0.541	88
-16.9114	64.9279	64.64	0.57	0.000	1587
-16.9133	64.9549	67.54	0.59	0.000	3776
-16.9152	64.9818	276.35	0.65	0.000	2526
-16.9172	65.0087	283.34	0.66	0.000	28713
-16.9191	65.0356	82.87	0.45	0.000	4825
-16.9210	65.0625	67.35	0.24	0.000	3467
-16.9230	65.0894	57.78	0.34	0.000	4345
-16.9249	65.1163	76.41	0.44	0.000	1828
-16.9269	65.1432	77.43	0.44	0.000	3680
-16.9288	65.1701	273.67	0.34	0.008	656
-16.9308	65.1970	73.25	0.55	0.299	63
-16.8480	64.9287	65.93	0.54	0.000	1764
-16.8498	64.9557	69.80	0.53	0.000	11750
-16.8517	64.9826	272.71	0.52	0.000	24917
-16.8536	65.0095	283.84	0.59	0.000	30340
-16.8554	65.0364	279.40	0.29	0.000	6571
-16.8573	65.0633	74.23	0.28	0.000	10257
-16.8592	65.0902	63.42	0.37	0.000	10343
-16.8611	65.1171	77.73	0.44	0.000	11943
-16.8629	65.1440	76.55	0.29	0.000	1698
-16.8648	65.1709	85.93	0.48	0.000	458
-16.8667	65.1978	31.76	0.29	0.915	24
-16.7846	64.9295	68.57	0.53	0.000	41717
-16.7864	64.9564	66.97	0.53	0.000	14062
-16.7882	64.9833	67.51	0.39	0.000	18446
-16.7900	65.0102	58.83	0.55	0.000	83023
-16.7918	65.0371	76.32	0.15	0.000	7878
-16.7936	65.0640	33.51	0.10	0.000	16172
-16.7954	65.0910	45.64	0.19	0.000	19300
-16.7972	65.1179	78.04	0.46	0.000	20687
-16.7990	65.1448	86.89	0.41	0.000	13288
-16.8008	65.1717	68.29	0.71	0.000	774
-16.7211	64.9303	69.13	0.38	0.000	4334
-16.7229	64.9572	67.65	0.54	0.000	38562
-16.7246	64.9841	66.12	0.58	0.000	47129
-16.7263	65.0110	68.49	0.48	0.000	107318
-16.7281	65.0379	26.91	0.01	0.208	29085
-16.7298	65.0648	61.91	0.23	0.000	37184
-16.7316	65.0917	74.15	0.41	0.000	22839
-16.7333	65.1186	73.08	0.44	0.000	12528
-16.7351	65.1455	64.89	0.31	0.000	5883
-16.7368	65.1724	83.56	0.46	0.000	343
-16.6577	64.9310	43.20	0.71	0.000	15674
-16.6594	64.9579	42.87	0.70	0.000	36828
-16.6611	64.9848	40.49	0.55	0.000	56943
-16.6627	65.0117	50.61	0.50	0.000	167455
-16.6644	65.0386	274.72	0.41	0.000	156055
-16.6661	65.0655	75.67	0.38	0.000	64779
-16.6678	65.0924	277.88	0.25	0.000	24769
-16.6695	65.1193	285.79	0.38	0.000	20973
-16.6711	65.1462	286.35	0.35	0.000	20406
-16.6728	65.1731	69.16	0.33	0.000	628
-16.6745	65.2001	89.00	1.00	0.740	6
-16.5943	64.9317	276.89	0.70	0.772	7
-16.5959	64.9586	46.65	0.52	0.000	1959
-16.5975	64.9855	36.88	0.46	0.000	10125
-16.5991	65.0124	35.75	0.55	0.000	66525
-16.6007	65.0393	60.94	0.60	0.000	125693
-16.6023	65.0662	65.51	0.42	0.000	107815
-16.6040	65.0931	51.51	0.57	0.000	109140
-16.6056	65.1200	54.68	0.61	0.000	57493
-16.6072	65.1469	73.63	0.57	0.000	3995
-16.6088	65.1738	63.69	0.58	0.000	1723
-16.6105	65.2008	69.52	0.81	0.630	10
-16.5324	64.9593	36.25	0.39	0.001	350
-16.5339	64.9862	35.99	0.57	0.000	14924
-16.5355	65.0131	38.52	0.53	0.000	24386
-16.5370	65.0400	68.34	0.75	0.000	96088
-16.5386	65.0669	66.50	0.55	0.000	77639
-16.5401	65.0938	66.80	0.72	0.000	53194
-16.5417	65.1207	64.05	0.58	0.000	47233
-16.5433	65.1476	80.57	0.22	0.000	38519
-16.5448	65.1745	62.83	0.18	0.000	10832
-16.5464	65.2014	283.00	1.00	0.242	3
-16.4704	64.9868	30.29	0.70	0.027	35
-16.4719	65.0137	60.66	0.27	0.000	1236
-16.4733	65.0406	69.17	0.60	0.000	5544
-16.4748	65.0675	70.64	0.44	0.000	10877
-16.4763	65.0944	54.84	0.39	0.000	13576
-16.4778	65.1213	89.96	0.76	0.000	12042
-16.4793	65.1483	86.84	0.80	0.000	21162
-16.4808	65.1752	84.68	0.48	0.000	40616
-16.4823	65.2021	278.51	0.95	0.004	5
